top_msg{pid: 10496, deal: 0.36, find: 0.01, post: 0.28}
top_msg{pid: 10497, deal: 0.35, find: 0.01, post: 0.31}
top_msg{pid: 10498, deal: 0.29, find: 0.00, post: 0.30}
top_msg{pid: 10500, deal: 0.33, find: 0.01, post: 0.32}
top_msg{pid: 10499, deal: 0.38, find: 0.01, post: 0.34}
top_msg{pid: 10501, deal: 0.33, find: 0.01, post: 0.28}
top_msg{pid: 10502, deal: 0.34, find: 0.00, post: 0.27}
top_msg{pid: 10503, deal: 0.29, find: 0.00, post: 0.27}
catch and done!

Total use time: 31.923000 ms
